Datetime,Temperature,Humidity,WindSpeed,Consumption,Hour,Fridge,TV,AC,Oven,Fan,Light
2017-01-01 22:00:00,12.792,66.207,0.2663999999999999,1.612,22,1,1,0,0,0,1
2017-01-01 23:00:00,11.712,72.507,0.27,1.395,23,1,1,0,0,0,1
2017-01-02 00:00:00,10.667,78.033,0.2772,1.184,0,1,0,0,0,0,1
2017-01-02 01:00:00,10.703,78.917,0.2736,1.05,1,1,0,0,0,0,1
2017-01-02 02:00:00,11.032,76.75,0.2808,0.979,2,1,0,0,0,0,1
2017-01-02 03:00:00,10.568,79.267,0.2808,0.947,3,1,0,0,0,0,1
2017-01-02 04:00:00,10.253,81.933,0.2736,0.938,4,1,0,0,0,0,1
2017-01-02 05:00:00,9.73,83.55,0.2772,0.976,5,1,0,0,0,0,1
2017-01-02 06:00:00,9.337,84.65,0.2736,1.066,6,1,0,0,0,0,1
2017-01-02 07:00:00,9.543,84.9,0.2772,1.029,7,1,0,0,0,0,0
2017-01-02 08:00:00,8.873,83.917,0.2952,1.055,8,1,0,0,0,0,0
2017-01-02 09:00:00,9.488,86.117,0.288,1.125,9,1,0,0,0,0,0
2017-01-02 10:00:00,12.865,74.437,0.2772,1.234,10,1,0,0,1,0,0
2017-01-02 11:00:00,15.05,58.008,0.2736,1.311,11,1,0,0,1,0,0
2017-01-02 12:00:00,15.168,58.125,0.2736,1.355,12,1,0,0,1,0,0
2017-01-02 13:00:00,15.307,59.308,0.2736,1.36,13,1,0,0,1,0,0
2017-01-02 14:00:00,15.563,55.987,0.2736,1.341,14,1,0,0,1,0,0
2017-01-02 15:00:00,15.475,57.263,0.2736,1.336,15,1,0,0,1,0,0
2017-01-02 16:00:00,15.238,60.763,0.2736,1.34,16,1,0,0,1,0,0
2017-01-02 17:00:00,14.967,61.642,0.2772,1.679,17,1,0,0,1,0,0
2017-01-02 18:00:00,14.207,65.692,0.2736,1.885,18,1,0,0,1,0,1
2017-01-02 19:00:00,13.523,69.695,0.2736,1.878,19,1,0,0,1,0,1
2017-01-02 20:00:00,13.412,68.645,0.27,1.87,20,1,0,0,1,0,1
2017-01-02 21:00:00,13.125,66.962,0.27,1.807,21,1,1,0,0,0,1
2017-01-02 22:00:00,12.877,68.675,0.27,1.644,22,1,1,0,0,0,1
2017-01-02 23:00:00,12.473,71.717,0.27,1.409,23,1,1,0,0,0,1
2017-01-03 00:00:00,11.84,75.533,0.27,1.193,0,1,0,0,0,0,1
2017-01-03 01:00:00,12.132,72.567,0.2736,1.061,1,1,0,0,0,0,1
2017-01-03 02:00:00,11.788,73.883,0.2772,0.994,2,1,0,0,0,0,1
2017-01-03 03:00:00,12.207,73.933,0.2736,0.959,3,1,0,0,0,0,1
2017-01-03 04:00:00,11.443,76.35,0.288,0.947,4,1,0,0,0,0,1
2017-01-03 05:00:00,10.845,79.783,0.2808,0.983,5,1,0,0,0,0,1
2017-01-03 06:00:00,11.097,77.667,0.2808,1.087,6,1,0,0,0,0,1
2017-01-03 07:00:00,9.67,81.467,0.2844,1.069,7,1,0,0,0,0,0
2017-01-03 08:00:00,8.572,84.167,0.2916,1.083,8,1,0,0,0,0,0
2017-01-03 09:00:00,9.218,85.05,0.2988,1.218,9,1,0,0,0,0,0
2017-01-03 10:00:00,13.418,75.483,0.2916,1.326,10,1,0,0,1,0,0
2017-01-03 11:00:00,14.903,66.107,0.288,1.404,11,1,0,0,1,0,0
2017-01-03 12:00:00,15.253,64.243,0.2663999999999999,1.446,12,1,0,0,1,0,0
2017-01-03 13:00:00,15.443,63.037,0.27,1.44,13,1,0,0,1,0,0
2017-01-03 14:00:00,15.422,64.19,0.2663999999999999,1.411,14,1,0,0,1,0,0
2017-01-03 15:00:00,15.408,64.98,0.27,1.404,15,1,0,0,1,0,0
2017-01-03 16:00:00,15.19,67.078,0.27,1.398,16,1,0,0,1,0,0
2017-01-03 17:00:00,14.775,66.215,0.27,1.693,17,1,0,0,1,0,0
2017-01-03 18:00:00,13.658,72.76,0.27,1.913,18,1,0,0,1,0,1
2017-01-03 19:00:00,11.267,80.033,0.2736,1.91,19,1,0,0,1,0,1
2017-01-03 20:00:00,10.1,82.85,0.2736,1.908,20,1,0,0,1,0,1
2017-01-03 21:00:00,9.32,83.717,0.2663999999999999,1.833,21,1,1,0,0,0,1
2017-01-03 22:00:00,8.938,83.867,0.2663999999999999,1.66,22,1,1,0,0,0,1
2017-01-03 23:00:00,8.492,84.6,0.27,1.417,23,1,1,0,0,0,1
2017-01-04 00:00:00,8.523,82.833,0.2736,1.223,0,1,0,0,0,0,1
2017-01-04 01:00:00,8.223,81.867,0.27,1.075,1,1,0,0,0,0,1
2017-01-04 02:00:00,7.955,81.567,0.2736,1.006,2,1,0,0,0,0,1
2017-01-04 03:00:00,7.715,80.9,0.2736,0.974,3,1,0,0,0,0,1
2017-01-04 04:00:00,6.592,83.7,0.3096,0.946,4,1,0,0,0,0,1
2017-01-04 05:00:00,5.986,86.75,0.306,0.99,5,1,0,0,0,0,1
2017-01-04 06:00:00,5.491,87.333,0.306,1.093,6,1,0,0,0,0,1
2017-01-04 07:00:00,5.436,87.367,0.3204,1.064,7,1,0,0,0,0,0
2017-01-04 08:00:00,4.97,87.417,0.3132,1.076,8,1,0,0,0,0,0
2017-01-04 09:00:00,5.24,86.267,0.3167999999999999,1.225,9,1,0,0,0,0,0
2017-01-04 10:00:00,6.76,82.017,0.324,1.33,10,1,0,0,1,0,0
2017-01-04 11:00:00,9.36,77.283,0.324,1.419,11,1,0,0,1,0,0
2017-01-04 12:00:00,12.807,66.392,0.3096,1.456,12,1,0,0,1,0,0
2017-01-04 13:00:00,15.695,59.225,0.306,1.441,13,1,0,0,1,0,0
2017-01-04 14:00:00,17.49,53.12,0.2844,1.413,14,1,0,0,1,0,0
2017-01-04 15:00:00,17.275,59.467,0.27,1.403,15,1,0,0,1,0,0
2017-01-04 16:00:00,17.363,60.997,0.2736,1.374,16,1,0,0,1,0,0
2017-01-04 17:00:00,16.555,64.883,0.2663999999999999,1.668,17,1,0,0,1,0,0
2017-01-04 18:00:00,13.7,74.383,0.2808,1.925,18,1,0,0,1,0,1
2017-01-04 19:00:00,12.93,75.688,0.2952,1.916,19,1,0,0,1,0,1
2017-01-04 20:00:00,13.488,67.88,0.3096,1.909,20,1,0,0,1,0,1
2017-01-04 21:00:00,12.157,70.9,0.3024,1.834,21,1,1,0,0,0,1
2017-01-04 22:00:00,10.633,75.6,0.3024,1.669,22,1,1,0,0,0,1
2017-01-04 23:00:00,9.883,77.2,0.3024,1.434,23,1,1,0,0,0,1
2017-01-05 00:00:00,8.998,78.983,0.3096,1.216,0,1,0,0,0,0,1
2017-01-05 01:00:00,8.255,80.133,0.3096,1.075,1,1,0,0,0,0,1
2017-01-05 02:00:00,7.793,80.833,0.306,0.996,2,1,0,0,0,0,1
2017-01-05 03:00:00,7.545,79.55,0.2988,0.97,3,1,0,0,0,0,1
2017-01-05 04:00:00,7.033,78.683,0.3096,0.962,4,1,0,0,0,0,1
2017-01-05 05:00:00,7.07,76.633,0.3024,0.999,5,1,0,0,0,0,1
2017-01-05 06:00:00,6.904,73.95,0.306,1.09,6,1,0,0,0,0,1
2017-01-05 07:00:00,6.051,79.9,0.3132,1.061,7,1,0,0,0,0,0
2017-01-05 08:00:00,5.746,82.117,0.3096,1.083,8,1,0,0,0,0,0
2017-01-05 09:00:00,6.192,74.8,0.3024,1.217,9,1,0,0,0,0,0
2017-01-05 10:00:00,8.238,65.66,0.3096,1.32,10,1,0,0,1,0,0
2017-01-05 11:00:00,11.195,61.315,0.306,1.394,11,1,0,0,1,0,0
2017-01-05 12:00:00,14.717,60.073,0.3024,1.433,12,1,0,0,1,0,0
2017-01-05 13:00:00,16.657,58.472,0.2988,1.448,13,1,0,0,1,0,0
2017-01-05 14:00:00,17.565,56.485,0.3024,1.425,14,1,0,0,1,0,0
2017-01-05 15:00:00,18.218,53.333,0.3167999999999999,1.395,15,1,0,0,1,0,0
2017-01-05 16:00:00,17.198,51.955,0.2772,1.377,16,1,0,0,1,0,0
2017-01-05 17:00:00,16.028,57.43,0.2736,1.673,17,1,0,0,1,0,0
2017-01-05 18:00:00,14.163,63.795,0.3167999999999999,1.932,18,1,0,0,1,0,1
2017-01-05 19:00:00,12.512,69.787,0.27,1.924,19,1,0,0,1,0,1
2017-01-05 20:00:00,11.2,75.35,0.2844,1.914,20,1,0,0,1,0,1
2017-01-05 21:00:00,11.447,79.9,0.3096,1.83,21,1,1,0,0,0,1
2017-01-05 22:00:00,10.532,82.117,0.3096,1.684,22,1,1,0,0,0,1
2017-01-05 23:00:00,9.537,83.717,0.306,1.465,23,1,1,0,0,0,1
2017-01-06 00:00:00,8.873,85.467,0.3024,1.248,0,1,0,0,0,0,1
2017-01-06 01:00:00,8.508,86.317,0.3096,1.1,1,1,0,0,0,0,1
2017-01-06 02:00:00,8.077,87.2,0.3024,1.025,2,1,0,0,0,0,1
2017-01-06 03:00:00,8.33,87.0,0.3167999999999999,0.998,3,1,0,0,0,0,1
2017-01-06 04:00:00,8.02,88.183,0.3132,0.985,4,1,0,0,0,0,1
2017-01-06 05:00:00,8.342,88.55,0.2952,1.018,5,1,0,0,0,0,1
2017-01-06 06:00:00,8.677,86.633,0.3024,1.093,6,1,0,0,0,0,1
2017-01-06 07:00:00,9.373,82.65,0.3024,1.046,7,1,0,0,0,0,0
2017-01-06 08:00:00,8.962,82.617,0.306,1.073,8,1,0,0,0,0,0
2017-01-06 09:00:00,10.068,79.267,0.306,1.213,9,1,0,0,0,0,0
2017-01-06 10:00:00,11.367,74.033,0.3024,1.336,10,1,0,0,1,0,0
2017-01-06 11:00:00,12.487,71.572,0.3132,1.424,11,1,0,0,1,0,0
2017-01-06 12:00:00,14.395,66.94,0.306,1.412,12,1,0,0,1,0,0
2017-01-06 13:00:00,15.365,64.782,5.5728,1.42,13,1,0,0,1,0,0
2017-01-06 14:00:00,15.71,62.372,0.306,1.397,14,1,0,0,1,0,0
2017-01-06 15:00:00,15.478,65.998,0.3024,1.384,15,1,0,0,1,0,0
2017-01-06 16:00:00,15.28,67.583,0.2952,1.377,16,1,0,0,1,0,0
2017-01-06 17:00:00,14.957,70.257,0.306,1.655,17,1,0,0,1,0,0
2017-01-06 18:00:00,14.133,75.383,0.3096,1.9,18,1,0,0,1,0,1
2017-01-06 19:00:00,13.557,75.133,0.3096,1.886,19,1,0,0,1,0,1
2017-01-06 20:00:00,13.065,75.567,0.3096,1.88,20,1,0,0,1,0,1
2017-01-06 21:00:00,12.518,77.417,0.3096,1.816,21,1,1,0,0,0,1
2017-01-06 22:00:00,12.437,77.767,0.3096,1.662,22,1,1,0,0,0,1
2017-01-06 23:00:00,12.467,75.5,0.3096,1.452,23,1,1,0,0,0,1
2017-01-07 00:00:00,12.213,75.817,0.306,1.248,0,1,0,0,0,0,1
2017-01-07 01:00:00,11.647,77.883,0.3167999999999999,1.102,1,1,0,0,0,0,1
2017-01-07 02:00:00,10.717,81.133,0.3167999999999999,1.032,2,1,0,0,0,0,1
2017-01-07 03:00:00,10.477,81.367,0.3132,0.999,3,1,0,0,0,0,1
2017-01-07 04:00:00,9.52,84.15,0.3167999999999999,0.987,4,1,0,0,0,0,1
2017-01-07 05:00:00,9.328,83.9,0.3132,1.024,5,1,0,0,0,0,1
2017-01-07 06:00:00,8.71,84.367,0.3132,1.082,6,1,0,0,0,0,1
2017-01-07 07:00:00,8.427,85.25,0.3204,0.997,7,1,0,0,0,0,0
2017-01-07 08:00:00,8.413,84.633,0.324,1.028,8,1,0,0,0,0,0
2017-01-07 09:00:00,8.643,83.0,0.3167999999999999,1.202,9,1,0,0,0,0,0
2017-01-07 10:00:00,10.287,78.833,0.3276,1.349,10,1,0,0,1,0,0
2017-01-07 11:00:00,12.747,72.0,0.3276,1.428,11,1,0,0,1,0,0
2017-01-07 12:00:00,14.575,67.718,0.3096,1.456,12,1,0,0,1,0,0
2017-01-07 13:00:00,14.928,61.947,0.2808,1.44,13,1,0,0,1,0,0
2017-01-07 14:00:00,14.792,63.278,0.2736,1.41,14,1,0,0,1,0,0
2017-01-07 15:00:00,15.155,66.372,0.27,1.375,15,1,0,0,1,0,0
2017-01-07 16:00:00,15.337,65.358,0.2736,1.354,16,1,0,0,1,0,0
2017-01-07 17:00:00,14.748,67.662,0.2663999999999999,1.635,17,1,0,0,1,0,0
2017-01-07 18:00:00,13.702,72.592,0.2736,1.869,18,1,0,0,1,0,1
2017-01-07 19:00:00,11.993,79.133,0.2772,1.849,19,1,0,0,1,0,1
2017-01-07 20:00:00,12.47,78.75,0.2772,1.826,20,1,0,0,1,0,1
2017-01-07 21:00:00,13.07,77.167,0.2772,1.776,21,1,1,0,0,0,1
2017-01-07 22:00:00,13.023,78.317,0.2808,1.646,22,1,1,0,0,0,1
2017-01-07 23:00:00,13.53,78.583,0.2952,1.453,23,1,1,0,0,0,1
2017-01-08 00:00:00,14.273,77.917,0.3167999999999999,1.239,0,1,0,0,0,0,1
2017-01-08 01:00:00,14.442,76.617,0.3276,1.104,1,1,0,0,0,0,1
2017-01-08 02:00:00,14.217,74.183,0.3204,1.018,2,1,0,0,0,0,1
2017-01-08 03:00:00,13.99,73.15,0.3132,0.971,3,1,0,0,0,0,1
2017-01-08 04:00:00,13.505,76.133,0.3312,0.957,4,1,0,0,0,0,1
2017-01-08 05:00:00,13.243,72.967,0.3348,0.974,5,1,0,0,0,0,1
2017-01-08 06:00:00,13.255,70.705,0.324,1.024,6,1,0,0,0,0,1
2017-01-08 07:00:00,13.625,68.613,0.324,0.869,7,1,0,0,0,0,0
2017-01-08 08:00:00,12.648,69.172,0.3167999999999999,0.895,8,1,0,0,0,0,0
2017-01-08 09:00:00,13.747,65.532,0.3204,1.031,9,1,0,0,0,0,0
2017-01-08 10:00:00,14.602,64.75,0.288,1.196,10,1,0,0,1,0,0
2017-01-08 11:00:00,15.372,61.497,0.2808,1.308,11,1,0,0,1,0,0
2017-01-08 12:00:00,16.005,56.315,0.2808,1.35,12,1,0,0,1,0,0
2017-01-08 13:00:00,16.073,56.767,0.2808,1.362,13,1,0,0,1,0,0
2017-01-08 14:00:00,15.858,58.213,0.2772,1.339,14,1,0,0,1,0,0
2017-01-08 15:00:00,15.727,60.185,0.2736,1.298,15,1,0,0,1,0,0
2017-01-08 16:00:00,15.723,62.775,0.27,1.292,16,1,0,0,1,0,0
2017-01-08 17:00:00,15.753,66.398,0.27,1.553,17,1,0,0,1,0,0
2017-01-08 18:00:00,15.26,72.0,0.2484,1.802,18,1,0,0,1,0,1
2017-01-08 19:00:00,15.192,73.533,0.2592,1.837,19,1,0,0,1,0,1
2017-01-08 20:00:00,15.243,74.25,0.2663999999999999,1.826,20,1,0,0,1,0,1
2017-01-08 21:00:00,15.283,75.3,0.2663999999999999,1.767,21,1,1,0,0,0,1
2017-01-08 22:00:00,15.143,78.333,0.2736,1.609,22,1,1,0,0,0,1
2017-01-08 23:00:00,15.212,73.317,0.27,1.382,23,1,1,0,0,0,1
2017-01-09 00:00:00,15.078,71.167,0.2736,1.18,0,1,0,0,0,0,1
2017-01-09 01:00:00,15.062,69.82,0.27,1.045,1,1,0,0,0,0,1
2017-01-09 02:00:00,14.968,69.188,0.27,0.984,2,1,0,0,0,0,1
2017-01-09 03:00:00,14.952,72.2,0.2663999999999999,0.942,3,1,0,0,0,0,1
2017-01-09 04:00:00,14.842,71.867,0.2628,0.927,4,1,0,0,0,0,1
2017-01-09 05:00:00,14.915,70.212,0.2663999999999999,0.95,5,1,0,0,0,0,1
2017-01-09 06:00:00,14.905,68.098,0.2663999999999999,1.053,6,1,0,0,0,0,1
2017-01-09 07:00:00,14.918,66.342,0.27,1.022,7,1,0,0,0,0,0
2017-01-09 08:00:00,14.918,62.273,0.27,1.052,8,1,0,0,0,0,0
2017-01-09 09:00:00,15.308,59.405,0.2736,1.176,9,1,0,0,0,0,0
2017-01-09 10:00:00,15.94,58.627,0.2736,1.305,10,1,0,0,1,0,0
2017-01-09 11:00:00,16.503,58.477,0.2736,1.394,11,1,0,0,1,0,0
2017-01-09 12:00:00,16.78,58.917,0.2772,1.422,12,1,0,0,1,0,0
2017-01-09 13:00:00,16.757,61.775,0.27,1.434,13,1,0,0,1,0,0
2017-01-09 14:00:00,16.752,62.583,0.27,1.405,14,1,0,0,1,0,0
2017-01-09 15:00:00,16.438,66.692,0.2663999999999999,1.387,15,1,0,0,1,0,0
2017-01-09 16:00:00,16.165,69.885,0.2628,1.358,16,1,0,0,1,0,0
2017-01-09 17:00:00,15.73,71.233,0.2592,1.63,17,1,0,0,1,0,0
2017-01-09 18:00:00,15.405,72.6,0.2628,1.91,18,1,0,0,1,0,1
2017-01-09 19:00:00,15.31,73.617,0.2663999999999999,1.892,19,1,0,0,1,0,1
2017-01-09 20:00:00,15.217,75.817,0.2556,1.877,20,1,0,0,1,0,1
2017-01-09 21:00:00,15.085,76.567,0.2663999999999999,1.806,21,1,1,0,0,0,1
2017-01-09 22:00:00,15.017,76.217,0.2592,1.636,22,1,1,0,0,0,1
2017-01-09 23:00:00,14.798,76.4,0.2628,1.402,23,1,1,0,0,0,1
2017-01-10 00:00:00,14.505,78.35,0.2736,1.203,0,1,0,0,0,0,1
2017-01-10 01:00:00,14.463,79.25,0.288,1.072,1,1,0,0,0,0,1
2017-01-10 02:00:00,14.645,78.717,0.288,1.001,2,1,0,0,0,0,1
2017-01-10 03:00:00,14.528,78.6,0.2736,0.98,3,1,0,0,0,0,1
2017-01-10 04:00:00,14.37,78.6,0.2808,0.971,4,1,0,0,0,0,1
2017-01-10 05:00:00,14.297,78.75,0.2808,1.001,5,1,0,0,0,0,1
2017-01-10 06:00:00,14.342,78.9,0.288,1.089,6,1,0,0,0,0,1
2017-01-10 07:00:00,14.35,78.283,0.288,1.059,7,1,0,0,0,0,0
2017-01-10 08:00:00,12.122,79.017,0.2808,1.076,8,1,0,0,0,0,0
2017-01-10 09:00:00,12.028,79.717,0.2808,1.215,9,1,0,0,0,0,0
2017-01-10 10:00:00,15.168,68.353,0.2772,1.341,10,1,0,0,1,0,0
2017-01-10 11:00:00,15.585,65.922,0.2736,1.426,11,1,0,0,1,0,0
2017-01-10 12:00:00,15.89,64.352,0.2736,1.455,12,1,0,0,1,0,0
2017-01-10 13:00:00,16.233,63.838,0.2736,1.457,13,1,0,0,1,0,0
2017-01-10 14:00:00,16.317,64.035,0.2772,1.452,14,1,0,0,1,0,0
2017-01-10 15:00:00,15.873,66.338,0.27,1.429,15,1,0,0,1,0,0
2017-01-10 16:00:00,15.87,68.742,0.2772,1.417,16,1,0,0,1,0,0
2017-01-10 17:00:00,15.462,69.852,0.2772,1.67,17,1,0,0,1,0,0
2017-01-10 18:00:00,14.267,74.533,0.2844,1.942,18,1,0,0,1,0,1
2017-01-10 19:00:00,12.277,81.117,0.2736,1.909,19,1,0,0,1,0,1
2017-01-10 20:00:00,11.56,83.417,0.2808,1.893,20,1,0,0,1,0,1
2017-01-10 21:00:00,11.058,85.433,0.2988,1.815,21,1,1,0,0,0,1
2017-01-10 22:00:00,10.97,85.617,0.3024,1.66,22,1,1,0,0,0,1
2017-01-10 23:00:00,10.29,86.55,0.306,1.437,23,1,1,0,0,0,1
2017-01-11 00:00:00,10.128,85.25,0.3132,1.241,0,1,0,0,0,0,1
2017-01-11 01:00:00,9.927,84.667,0.3132,1.097,1,1,0,0,0,0,1
2017-01-11 02:00:00,10.0,83.483,0.3132,1.017,2,1,0,0,0,0,1
2017-01-11 03:00:00,9.243,83.617,0.2988,0.986,3,1,0,0,0,0,1
2017-01-11 04:00:00,9.525,83.7,0.3096,0.976,4,1,0,0,0,0,1
2017-01-11 05:00:00,9.325,77.783,0.3024,1.001,5,1,0,0,0,0,1
2017-01-11 06:00:00,9.113,78.583,0.3024,1.052,6,1,0,0,0,0,1
2017-01-11 07:00:00,9.633,78.517,0.306,0.904,7,1,0,0,0,0,0
2017-01-11 08:00:00,9.617,67.512,0.2988,0.955,8,1,0,0,0,0,0
2017-01-11 09:00:00,9.463,68.767,0.3024,1.115,9,1,0,0,0,0,0
2017-01-11 10:00:00,11.047,65.02,0.306,1.285,10,1,0,0,1,0,0
2017-01-11 11:00:00,13.725,57.408,0.3024,1.396,11,1,0,0,1,0,0
2017-01-11 12:00:00,17.357,52.677,0.2988,1.437,12,1,0,0,1,0,0
2017-01-11 13:00:00,18.435,47.963,0.3024,1.42,13,1,0,0,1,0,0
2017-01-11 14:00:00,18.698,45.45,0.306,1.402,14,1,0,0,1,0,0
2017-01-11 15:00:00,19.183,45.057,0.306,1.375,15,1,0,0,1,0,0
2017-01-11 16:00:00,19.248,46.028,0.3096,1.347,16,1,0,0,1,0,0
2017-01-11 17:00:00,18.428,47.115,0.3132,1.58,17,1,0,0,1,0,0
2017-01-11 18:00:00,17.113,56.288,0.3096,1.887,18,1,0,0,1,0,1
2017-01-11 19:00:00,16.153,63.38,0.3024,1.884,19,1,0,0,1,0,1
2017-01-11 20:00:00,15.222,69.922,0.306,1.887,20,1,0,0,1,0,1
2017-01-11 21:00:00,13.29,73.317,0.3132,1.826,21,1,1,0,0,0,1
2017-01-11 22:00:00,12.85,70.438,0.306,1.682,22,1,1,0,0,0,1
2017-01-11 23:00:00,12.037,73.365,0.306,1.452,23,1,1,0,0,0,1
2017-01-12 00:00:00,11.105,72.098,0.3132,1.243,0,1,0,0,0,0,1
2017-01-12 01:00:00,10.33,73.483,0.306,1.107,1,1,0,0,0,0,1
2017-01-12 02:00:00,10.023,75.683,0.3096,1.038,2,1,0,0,0,0,1
2017-01-12 03:00:00,9.575,76.267,0.306,1.004,3,1,0,0,0,0,1
2017-01-12 04:00:00,9.337,74.9,0.2952,0.995,4,1,0,0,0,0,1
2017-01-12 05:00:00,10.178,69.387,0.2736,1.029,5,1,0,0,0,0,1
2017-01-12 06:00:00,10.972,68.242,0.27,1.113,6,1,0,0,0,0,1
2017-01-12 07:00:00,11.332,72.068,0.2736,1.075,7,1,0,0,0,0,0
2017-01-12 08:00:00,11.332,78.667,0.2772,1.098,8,1,0,0,0,0,0
2017-01-12 09:00:00,14.263,78.117,0.2736,1.241,9,1,0,0,0,0,0
2017-01-12 10:00:00,16.205,70.747,0.2808,1.359,10,1,0,0,1,0,0
2017-01-12 11:00:00,16.872,71.963,0.2772,1.442,11,1,0,0,1,0,0
2017-01-12 12:00:00,17.145,73.033,0.2663999999999999,1.481,12,1,0,0,1,0,0
2017-01-12 13:00:00,17.398,70.935,0.2663999999999999,1.466,13,1,0,0,1,0,0
2017-01-12 14:00:00,16.898,73.0,0.2628,1.443,14,1,0,0,1,0,0
2017-01-12 15:00:00,16.645,72.767,0.2592,1.42,15,1,0,0,1,0,0
2017-01-12 16:00:00,16.458,74.05,0.2592,1.392,16,1,0,0,1,0,0
2017-01-12 17:00:00,16.067,76.783,0.2556,1.63,17,1,0,0,1,0,0
2017-01-12 18:00:00,15.627,79.767,0.2628,1.928,18,1,0,0,1,0,1
2017-01-12 19:00:00,15.217,82.267,0.2628,1.923,19,1,0,0,1,0,1
2017-01-12 20:00:00,15.095,83.55,0.2592,1.914,20,1,0,0,1,0,1
2017-01-12 21:00:00,15.077,83.567,0.2663999999999999,1.847,21,1,1,0,0,0,1
2017-01-12 22:00:00,15.175,83.217,0.2844,1.685,22,1,1,0,0,0,1
2017-01-12 23:00:00,15.168,83.783,0.2736,1.449,23,1,1,0,0,0,1
2017-01-13 00:00:00,15.172,83.867,0.2808,1.241,0,1,0,0,0,0,1
2017-01-13 01:00:00,14.957,85.15,0.2808,1.102,1,1,0,0,0,0,1
2017-01-13 02:00:00,14.833,85.883,0.2772,1.034,2,1,0,0,0,0,1
2017-01-13 03:00:00,14.62,86.133,0.2844,0.999,3,1,0,0,0,0,1
2017-01-13 04:00:00,13.877,85.567,0.27,0.987,4,1,0,0,0,0,1
2017-01-13 05:00:00,13.615,85.1,0.2736,1.024,5,1,0,0,0,0,1
2017-01-13 06:00:00,13.272,85.467,0.2663999999999999,1.109,6,1,0,0,0,0,1
2017-01-13 07:00:00,13.032,84.1,0.2663999999999999,1.064,7,1,0,0,0,0,0
2017-01-13 08:00:00,12.788,83.517,0.2663999999999999,1.069,8,1,0,0,0,0,0
2017-01-13 09:00:00,13.385,83.167,0.2628,1.195,9,1,0,0,0,0,0
2017-01-13 10:00:00,14.92,83.8,0.2663999999999999,1.315,10,1,0,0,1,0,0
2017-01-13 11:00:00,15.715,80.283,0.2663999999999999,1.405,11,1,0,0,1,0,0
2017-01-13 12:00:00,16.028,77.333,0.27,1.417,12,1,0,0,1,0,0
2017-01-13 13:00:00,16.267,75.167,0.2663999999999999,1.412,13,1,0,0,1,0,0
2017-01-13 14:00:00,16.437,73.767,0.2628,1.393,14,1,0,0,1,0,0
2017-01-13 15:00:00,16.53,72.017,0.2592,1.374,15,1,0,0,1,0,0
2017-01-13 16:00:00,16.473,71.6,0.2556,1.361,16,1,0,0,1,0,0
2017-01-13 17:00:00,16.127,73.5,0.2556,1.605,17,1,0,0,1,0,0
2017-01-13 18:00:00,15.49,76.617,0.2556,1.891,18,1,0,0,1,0,1
2017-01-13 19:00:00,14.628,79.7,0.2556,1.889,19,1,0,0,1,0,1
2017-01-13 20:00:00,13.652,83.217,0.2592,1.873,20,1,0,0,1,0,1
2017-01-13 21:00:00,13.105,84.867,0.252,1.8,21,1,1,0,0,0,1
2017-01-13 22:00:00,13.01,86.15,0.2952,1.662,22,1,1,0,0,0,1
2017-01-13 23:00:00,13.203,86.267,0.3096,1.442,23,1,1,0,0,0,1
2017-01-14 00:00:00,13.865,83.717,0.306,1.248,0,1,0,0,0,0,1
2017-01-14 01:00:00,14.242,79.217,0.306,1.095,1,1,0,0,0,0,1
